"Manufacturer","Model_Name","Category","Screen_Size","Screen","CPU","RAM","Storage","GPU","Operating_System","Operating_System_Version","Weight","Price_in_Euros","CPU_Mark","G3D_Mark"
"Apple","MacBook 12""","Ultrabook","12.0""","IPS Panel Retina Display 2304x1440","Intel Core M m3 1.2GHz","8GB","256GB SSD","Intel HD Graphics 615","Mac OS",,"0.92kg","1262,40","2162","725"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","Mac OS",,"1.37kg","1518,55","4075","1331"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R5 M430","Windows","10","2.2kg","745,00","3650","649"
"Apple","MacBook Pro","Ultrabook","15.4""","IPS Panel Retina Display 2880x1800","Intel Core i7 2.9GHz","16GB","512GB SSD","AMD Radeon Pro 560","Mac OS",,"1.83kg","2858,00","7171","3475"
"Lenovo","IdeaPad 320-15IKB","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 940MX","No OS",,"2.2kg","499,00","2710","1510"
"Dell","XPS 13","Ultrabook","13.3""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD","Intel UHD Graphics 620","Windows","10","1.22kg","979,00","5948","1038"
"Asus","Vivobook E200HA","Netbook","11.6""","1366x768","Intel Atom x5-Z8350 1.44GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows","10","0.98kg","191,90","921","452"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.5kg","999,00","5118","5103"
"HP","255 G6","Notebook","15.6""","1366x768","AMD E-Series E2-9000e 1.5GHz","4GB","500GB HDD","AMD Radeon R2","No OS",,"1.86kg","258,00","786","239"
"Dell","Inspiron 5379","2 in 1 Convertible","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.62kg","819,00","5948","1038"
"HP","15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.91kg","659,00","5954","944"
"Dell","Inspiron 3567","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows","10","2.3kg","418,64","2273","863"
"Apple","MacBook Air","Ultrabook","13.3""","1440x900","Intel Core i5 1.6GHz","8GB","128GB Flash Storage","Intel HD Graphics 6000","Mac OS","X","1.35kg","1099,00","2501","851"
"Dell","Inspiron 5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","AMD Radeon 530","Windows","10","2.2kg","800,00","5948","947"
"Dell","Latitude 5590","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 8650U 1.9GHz","8GB","256GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows","10","1.88kg","1298,00","6417","1038"
"HP","ProBook 470","Notebook","17.3""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Nvidia GeForce 930MX","Windows","10","2.5kg","896,00","5948","1309"
"Chuwi","LapBook 15.6""","Notebook","15.6""","Full HD 1920x1080","Intel Atom x5-Z8300 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics","Windows","10","1.89kg","244,99","825","919"
"Asus","E402WA-GA010T (E2-6110/2GB/32GB/W10)","Notebook","14.0""","1366x768","AMD E-Series E2-6110 1.5GHz","2GB","32GB Flash Storage","AMD Radeon R2","Windows","10","1.65kg","199,00","1121","239"
"HP","17-ak001nv (A6-9220/4GB/500GB/Radeon","Notebook","17.3""","Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","500GB HDD","AMD Radeon 530","Windows","10","2.71kg","439,00","1281","947"
"Dell","XPS 13","Ultrabook","13.3""","Touchscreen / Quad HD+ 3200x1800","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows","10","1.2kg","1869,00","5954","1038"
"Apple","MacBook Air","Ultrabook","13.3""","1440x900","Intel Core i5 1.6GHz","8GB","256GB Flash Storage","Intel HD Graphics 6000","Mac OS","X","1.35kg","998,00","2501","851"
"Lenovo","IdeaPad 120S-14IAP","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","64GB Flash Storage","Intel HD Graphics 500","Windows","10","1.44kg","249,00","1131","297"
"Acer","Aspire 3","Notebook","15.6""","1366x768","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Intel HD Graphics 620","Linux",,"2.1kg","367,00","2986","944"
"Dell","Inspiron 5770","Notebook","17.3""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows","10","2.8kg","979,00","5948","947"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows","10","1.86kg","488,69","3412","944"
"HP","ProBook 450","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Nvidia GeForce 930MX ","Windows","10","2.1kg","879,00","5948","1309"
"Asus","X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 620","Linux",,"2kg","389,00","2273","944"
"Dell","Inspiron 7577","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","2.65kg","1499,00","6954","8161"
"Asus","X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Nvidia GeForce 940MX","Linux",,"2.3kg","522,99","3412","1510"
"Acer","Aspire A515-51G","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","Intel UHD Graphics 620","Windows","10","2.2kg","682,00","5948","1038"
"Dell","Inspiron 7773","2 in 1 Convertible","17.3""","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","12GB","1TB HDD","Nvidia GeForce 150MX","Windows","10","2.77kg","999,00","5948","2318"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 2.0GHz","8GB","256GB SSD","Intel Iris Graphics 540","Mac OS",,"1.37kg","1419,00","4490","1254"
"Lenovo","IdeaPad 320-15ISK","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","No OS",,"2.2kg","369,00","2273","863"
"Asus","Rog Strix","Gaming","17.3""","Full HD 1920x1080","AMD Ryzen 1700 3GHz","8GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows","10","3.2kg","1299,00","14678","8893"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","AMD Radeon R5 M430","Windows","10","2.3kg","639,00","3412","649"
"Asus","X751NV-TY001T (N4200/4GB/1TB/GeForce","Notebook","17.3""","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows","10","2.8kg","466,00","2140","1088"
"Lenovo","Yoga Book","2 in 1 Convertible","10.1""","IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Android",,"0.69kg","319,00","1190","452"
"Acer","Aspire A515-51G","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce MX150","Windows","10","2.2kg","841,00","5954","2138"
"HP","255 G6","Notebook","15.6""","Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","256GB SSD","AMD Radeon R4 Graphics","Windows","10","1.86kg","398,49","1281","333"
"HP","ProBook 430","Notebook","13.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows","10","1.49kg","1103,00","5954","1038"
"Acer","Aspire 3","Notebook","15.6""","1366x768","Intel Core i3 7100U 2.4GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows","10","2.4kg","384,00","2710","944"
"Dell","Inspiron 3576","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 520","Windows","10","2.13kg","767,80","5954","814"
"HP","15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows","10","1.91kg","439,00","2273","863"
"Asus","VivoBook Max","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows","10","2kg","586,19","3412","944"
"MSI","GS73VR 7RG","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070","Windows","10","2.43kg","2449,00","6954","10465"
"Asus","X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Li","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","Intel HD Graphics 520","Linux",,"2kg","415,00","2273","863"
"Dell","Inspiron 5770","Notebook","17.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows","10","2.8kg","1299,00","5954","947"
"Dell","Vostro 5471","Ultrabook","14.0""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.7kg","879,00","5948","1038"
"Lenovo","IdeaPad 520S-14IKB","Notebook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","No OS",,"1.7kg","599,00","2986","944"
"Asus","UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.4kg","941,00","5948","1038"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.86kg","690,00","3412","944"
"Asus","ZenBook Pro","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050 Ti","Windows","10","1.8kg","1983,00","6954","5919"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","AMD Radeon 520","Windows","10","1.86kg","438,69","2273","814"
"HP","Stream 14-AX040wm","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","32GB SSD","Intel HD Graphics 400","Windows","10","1.44kg","229,00","660","452"
"Lenovo","V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows","10","1.9kg","549,00","3412","944"
"Asus","FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForc","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","1TB HDD","Nvidia GeForce GTX 1050 Ti","Linux",,"3kg","949,00","6954","5919"
"Microsoft","Surface Laptop","Ultrabook","13.5""","Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows","10 S","1.252kg","1089,00","3412","944"
"Dell","Inspiron 5370","Ultrabook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows","10","1.4kg","955,00","5954","947"
"Dell","Inspiron 5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows","10","2.2kg","870,00","5954","947"
"MSI","GL72M 7RDX","Gaming","17.3""","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.7kg","1095,00","5118","5103"
"Acer","Aspire E5-475","Notebook","14.0""","1366x768","Intel Core i3 6006U 2GHz","8GB","1TB HDD","Intel HD Graphics 520","Windows","10","2.1kg","389,00","2273","863"
"Asus","FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForc","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.2kg","949,00","6954","5103"
"Lenovo","IdeaPad 320-15IKBN","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","2TB HDD","Intel HD Graphics 620","No OS",,"2.2kg","519,00","3412","944"
"Dell","Inspiron 5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  1TB HDD","Intel UHD Graphics 620","Windows","10","2.02kg","855,00","5954","1038"
"Acer","Aspire A515-51G-32MX","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Nvidia GeForce MX130","Windows","10","2.2kg","530,00","2986","1904"
"HP","ProBook 470","Notebook","17.3""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 930MX","Windows","10","2.5kg","977,00","5948","1309"
"Dell","Latitude 5590","Ultrabook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.88kg","1096,16","5948","1038"
"Apple","MacBook 12""","Ultrabook","12.0""","IPS Panel Retina Display 2304x1440","Intel Core i5 1.3GHz","8GB","512GB SSD","Intel HD Graphics 615","Mac OS",,"0.92kg","1510,00","2739","725"
"HP","ProBook 440","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.63kg","860,00","5948","944"
"Lenovo","IdeaPad 320-15AST","Notebook","15.6""","Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","128GB SSD","AMD R4 Graphics","Windows","10","2.2kg","399,00","1281","333"
"Acer","Aspire 3","Notebook","15.6""","1366x768","AMD A9-Series 9420 3GHz","4GB","1TB HDD","AMD Radeon R5","Windows","10","2.1kg","395,00","1542","575"
"Dell","Inspiron 7577","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.65kg","1349,00","6954","5919"
"HP","Pavilion 15-CK000nv","Ultrabook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 940MX","Windows","10","1.83kg","699,00","5954","1510"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.96kg","598,99","3412","944"
"Asus","FX503VM-E4007T (i7-7700HQ/16GB/1TB","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","2.2kg","1449,00","6954","8161"
"Dell","XPS 13","Ultrabook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.21kg","1649,00","5954","1038"
"Asus","FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon","Gaming","15.6""","Full HD 1920x1080","AMD FX 9830P 3GHz","8GB","1TB HDD","AMD Radeon RX 560","Windows","10","2.45kg","699,00","3178","3594"
"Acer","Aspire 5","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","1TB HDD","Nvidia GeForce MX150","Windows","10","2.2kg","689,00","5954","2138"
"HP","Probook 430","Notebook","13.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows","10","1.49kg","1197,00","5954","1038"
"Dell","Inspiron 7577","Gaming","15.6""","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1060","Windows","10","2.65kg","1195,00","5118","8161"
"Asus","Zenbook UX430UA","Ultrabook","14.0""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.25kg","1049,00","3650","944"
"Acer","Spin 5","2 in 1 Convertible","13.3""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.5kg","847,00","5948","1038"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","AMD Radeon R5 M430","Linux",,"2.2kg","599,90","3650","649"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 M430","Linux",,"2.2kg","485,00","2273","649"
"Asus","X541UV-DM1439T (i3-7100U/6GB/256GB/GeFor","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","6GB","256GB SSD","Nvidia GeForce 920M","Windows","10","2kg","577,00","2710","723"
"HP","Omen 15-ce007nv","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.62kg","1249,00","6954","5103"
"HP","15-bs017nv (i7-7500U/8GB/256GB/Radeon","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon 530","Windows","10","1.91kg","719,00","3650","947"
"HP","15-bw000nv (E2-9000e/4GB/500GB/Radeon","Notebook","15.6""","Full HD 1920x1080","AMD E-Series E2-9000e 1.5GHz","4GB","500GB HDD","AMD Radeon R2","Windows","10","2.1kg","349,00","786","239"
"Dell","Inspiron 3576","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","AMD Radeon 520","Linux",,"2.2kg","647,00","5948","814"
"HP","Envy 13-ad009n","Ultrabook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce MX150","Windows","10","1.38kg","1119,00","3650","2138"
"Microsoft","Surface Laptop","Ultrabook","13.5""","Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10 S","1.252kg","1340,00","3412","944"
"HP","Pavilion 14-BK001nv","Notebook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","6GB","256GB SSD","Nvidia GeForce 940MX","Windows","10","1.58kg","659,00","3412","1510"
"Lenovo","Ideapad 310-15ISK","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows","10","1.85kg","414,90","2273","863"
"Asus","UX430UQ-GV209R (i7-7500U/8GB/256GB/GeFor","Ultrabook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows","10","1.3kg","1193,00","3650","1510"
"MSI","GP62M 7REX","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.2kg","1299,00","6954","5919"
"Lenovo","Thinkpad T470","Notebook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.58kg","1480,00","3650","944"
"Asus","VivoBook S15","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce MX150","Windows","10","1.5kg","1262,00","5954","2138"
"Dell","XPS 13","Ultrabook","13.3""","Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7560U 2.4GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","Windows","10","1.23kg","1379,00","3801","1331"
"Lenovo","ThinkPad Yoga","2 in 1 Convertible","13.3""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.37kg","1399,00","3412","944"
"HP","Probook 440","Notebook","14.0""","IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz","4GB","500GB HDD","Intel UHD Graphics 620","Windows","10","1.63kg","722,00","5948","1038"
"Dell","XPS 13","Ultrabook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.21kg","1629,00","5948","1038"
"HP","Spectre x360","2 in 1 Convertible","13.3""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.26kg","1398,99","5948","1038"
"HP","Probook 440","Notebook","14.0""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows","10","1.63kg","1084,00","5954","1038"
"Dell","Inspiron 7570","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows","10","2.16kg","1130,33","5954","1510"
"Asus","X705UV-BX074T (i3-6006U/4GB/1TB/GeForce","Notebook","17.3""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows","10","2kg","564,00","2273","1088"
"Asus","VivoBook S15","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows","10","1.7kg","1118,00","5954","1510"
"Acer","Spin 3","Notebook","15.6""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i3 7100U 2.4GHz","6GB","1TB HDD","Intel HD Graphics 620","Windows","10","2.1kg","479,00","2710","944"
"MSI","GS63VR 7RG","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070","Windows","10","1.8kg","2241,50","6954","10465"
"Lenovo","IdeaPad 320-15IKBN","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 940MX","No OS",,"2.2kg","629,00","3412","1510"
"HP","Probook 470","Notebook","17.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Nvidia GeForce 930MX ","Windows","10","2.5kg","1271,00","5954","1309"
"Acer","Aspire 3","Notebook","15.6""","1366x768","AMD A9-Series 9420 3GHz","4GB","256GB SSD","AMD Radeon R5","Windows","10","2.1kg","451,00","1542","575"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","500GB HDD","Intel HD Graphics 400","No OS",,"1.86kg","259,00","660","452"
"HP","Probook 440","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows","10","1.63kg","812,00","5948","1038"
"Asus","E402WA-GA007T (E2-6110/4GB/64GB/W10","Notebook","14.0""","1366x768","AMD E-Series 6110 1.5GHz","4GB","64GB SSD","AMD Radeon R2","Windows","10 S","1.65kg","277,99","1121","239"
"Dell","Inspiron 5770","Notebook","17.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows","10","2.8kg","1396,00","5954","947"
